"","id","cs","Instruction","Material","CS_Valence","US_Valence","Pairing","prerating","prerating_RT","postrating","postrating_RT","pdset","pdval","pd_RT","vmval","vmconf","vm_correct","vm_RT","RKG","rkg_RT","im_correct","im_RT"
"161","4","81.png","Control","gogos","neutral","none","nonpaired",9,1948,8,2356,NA,NA,NA,"negative",1,FALSE,5286,"G",1818,NA,NA
"162","4","82.png","Control","gogos","positive","negative","paired",15,2622,11,4686,NA,NA,NA,"negative",2,TRUE,3860,"K",1992,TRUE,4108
"163","4","83.png","Control","gogos","positive","none","nonpaired",14,2154,11,1995,NA,NA,NA,"positive",1,FALSE,7821,"G",939,NA,NA
"164","4","84.png","Control","gogos","neutral","none","nonpaired",8,2925,6,1941,NA,NA,NA,"negative",1,FALSE,1179,"G",738,NA,NA
"165","4","85.png","Control","gogos","neutral","negative","paired",11,1778,7,2218,NA,NA,NA,"positive",1,FALSE,3271,"G",822,TRUE,7130
"166","4","86.png","Control","gogos","positive","none","nonpaired",14,2027,12,2400,NA,NA,NA,"negative",1,FALSE,9407,"G",4556,NA,NA
"167","4","88.png","Control","gogos","neutral","none","nonpaired",9,2323,7,1711,NA,NA,NA,"negative",1,FALSE,1114,"G",729,NA,NA
"168","4","9.png","Control","gogos","positive","negative","paired",15,5194,12,1845,NA,NA,NA,"negative",1,TRUE,5172,"G",652,TRUE,6157
"169","5","10.png","Exclusion","gogos","neutral","none","nonpaired",9,1184,5,1338,"Attitude","positive",3091,"negative",1,FALSE,1292,"G",842,NA,NA
"170","5","14.png","Exclusion","gogos","neutral","negative","paired",12,1995,13,1388,"Memory","negative",2781,"negative",3,TRUE,3297,"R",836,TRUE,3098
"171","5","16.png","Exclusion","gogos","neutral","none","nonpaired",11,1398,5,1859,"Memory","positive",3527,"negative",2,FALSE,1384,"K",986,NA,NA
"172","5","17.png","Exclusion","gogos","negative","positive","paired",1,1494,1,1910,"Attitude","positive",2891,"negative",1,FALSE,1584,"G",1106,TRUE,2615
"173","5","18.png","Exclusion","gogos","negative","none","nonpaired",1,2248,6,1361,"Memory","positive",2394,"negative",1,FALSE,2952,"G",810,NA,NA
"174","5","19.png","Exclusion","gogos","positive","none","nonpaired",19,3638,18,1607,"Attitude","negative",2170,"positive",1,FALSE,2267,"G",839,NA,NA
"175","5","2.png","Exclusion","gogos","positive","positive","paired",18,1645,15,2546,"Attitude","negative",2707,"positive",1,TRUE,5083,"G",865,TRUE,3818
